hugo_symbol	ensembl_gene_id	canonical_transcript
CBX5	ENSG00000094916	ENST00000209875
CBX6	ENSG00000183741	ENST00000407418
CBX7	ENSG00000100307	ENST00000216133
CBX8	ENSG00000141570	ENST00000269385
CBY3	ENSG00000204659	ENST00000376974
CC2D1A	ENSG00000132024	ENST00000318003
CC2D1B	ENSG00000154222	ENST00000371586
CC2D2A	ENSG00000048342	ENST00000424120
CC2D2B	ENSG00000188649	ENST00000410012
CCAR1	ENSG00000060339	ENST00000265872
CCAR2	ENSG00000158941	ENST00000308511
CCBE1	ENSG00000183287	ENST00000439986
CCBL1	ENSG00000171097	ENST00000436267
CCBL2	ENSG00000137944	ENST00000260508
CCDC101	ENSG00000176476	ENST00000317058
CCDC102A	ENSG00000135736	ENST00000258214
CCDC102B	ENSG00000150636	ENST00000360242
CCDC103	ENSG00000167131	ENST00000417826
CCDC104	ENSG00000163001	ENST00000339012
CCDC105	ENSG00000160994	ENST00000292574
CCDC106	ENSG00000173581	ENST00000586790
CCDC107	ENSG00000159884	ENST00000426546
CCDC108	ENSG00000181378	ENST00000341552
CCDC109B	ENSG00000005059	ENST00000394650
CCDC11	ENSG00000172361	ENST00000398545
CCDC110	ENSG00000168491	ENST00000307588
CCDC112	ENSG00000164221	ENST00000379611
CCDC113	ENSG00000103021	ENST00000219299
CCDC114	ENSG00000105479	ENST00000315396
CCDC115	ENSG00000136710	ENST00000259229
CCDC116	ENSG00000161180	ENST00000292779
CCDC117	ENSG00000159873	ENST00000249064
CCDC12	ENSG00000160799	ENST00000292314
CCDC120	ENSG00000147144	ENST00000603986
CCDC121	ENSG00000176714	ENST00000394775
CCDC122	ENSG00000151773	ENST00000444614
CCDC124	ENSG00000007080	ENST00000597436
CCDC125	ENSG00000183323	ENST00000396496
CCDC126	ENSG00000169193	ENST00000307471
CCDC127	ENSG00000164366	ENST00000296824
CCDC129	ENSG00000180347	ENST00000451887
CCDC13	ENSG00000244607	ENST00000310232
CCDC130	ENSG00000104957	ENST00000586600
CCDC132	ENSG00000004766	ENST00000305866
CCDC134	ENSG00000100147	ENST00000255784
CCDC135	ENSG00000159625	ENST00000360716
CCDC136	ENSG00000128596	ENST00000297788
CCDC137	ENSG00000185298	ENST00000329214
CCDC138	ENSG00000163006	ENST00000295124
CCDC14	ENSG00000175455	ENST00000488653
CCDC140	ENSG00000163081	ENST00000295226
CCDC141	ENSG00000163492	ENST00000420890
CCDC142	ENSG00000135637	ENST00000290418
CCDC144A	ENSG00000170160	ENST00000360524
CCDC144NL	ENSG00000205212	ENST00000327925
CCDC146	ENSG00000135205	ENST00000285871
CCDC147	ENSG00000120051	ENST00000369704
CCDC148	ENSG00000153237	ENST00000283233
CCDC149	ENSG00000181982	ENST00000504487
CCDC15	ENSG00000149548	ENST00000344762
CCDC150	ENSG00000144395	ENST00000389175
CCDC151	ENSG00000198003	ENST00000356392
CCDC152	ENSG00000198865	ENST00000361970
CCDC153	ENSG00000248712	ENST00000503566
CCDC154	ENSG00000197599	ENST00000389176
CCDC155	ENSG00000161609	ENST00000447857
CCDC157	ENSG00000187860	ENST00000405659
CCDC158	ENSG00000163749	ENST00000388914
CCDC159	ENSG00000183401	ENST00000588790
CCDC160	ENSG00000203952	ENST00000517294
CCDC166	ENSG00000255181	ENST00000542437
CCDC167	ENSG00000198937	ENST00000373408
CCDC168	ENSG00000175820	ENST00000322527
CCDC169	ENSG00000242715	ENST00000503173
CCDC169-SOHLH2	ENSG00000250709	ENST00000511166
CCDC17	ENSG00000159588	ENST00000528266
CCDC170	ENSG00000120262	ENST00000239374
CCDC171	ENSG00000164989	ENST00000380701
CCDC172	ENSG00000182645	ENST00000333254
CCDC173	ENSG00000154479	ENST00000447353
CCDC174	ENSG00000154781	ENST00000383794
CCDC175	ENSG00000151838	ENST00000537690
CCDC176	ENSG00000119636	ENST00000394009
CCDC177	ENSG00000267909	ENST00000599174
CCDC178	ENSG00000166960	ENST00000583930
CCDC179	ENSG00000255359	ENST00000532798
CCDC18	ENSG00000122483	ENST00000343253
CCDC180	ENSG00000197816	ENST00000529487
CCDC181	ENSG00000117477	ENST00000367806
CCDC182	ENSG00000166329	ENST00000299415
CCDC183	ENSG00000213213	ENST00000338005
CCDC19	ENSG00000213085	ENST00000368099
CCDC22	ENSG00000101997	ENST00000376227
CCDC23	ENSG00000177868	ENST00000372521
CCDC24	ENSG00000159214	ENST00000372318
CCDC25	ENSG00000147419	ENST00000356537
CCDC27	ENSG00000162592	ENST00000294600
CCDC28B	ENSG00000160050	ENST00000421922
CCDC3	ENSG00000151468	ENST00000378825
CCDC30	ENSG00000186409	ENST00000342022
CCDC33	ENSG00000140481	ENST00000398814
CCDC34	ENSG00000109881	ENST00000328697
CCDC36	ENSG00000173421	ENST00000438782
CCDC37	ENSG00000163885	ENST00000352312
CCDC38	ENSG00000165972	ENST00000344280
CCDC39	ENSG00000145075	ENST00000442201
CCDC40	ENSG00000141519	ENST00000397545
CCDC42	ENSG00000161973	ENST00000293845
CCDC42B	ENSG00000186710	ENST00000335621
CCDC43	ENSG00000180329	ENST00000315286
CCDC47	ENSG00000108588	ENST00000225726
CCDC50	ENSG00000152492	ENST00000392456
CCDC51	ENSG00000164051	ENST00000395694
CCDC53	ENSG00000120860	ENST00000240079
CCDC54	ENSG00000138483	ENST00000261058
CCDC57	ENSG00000176155	ENST00000389641
CCDC58	ENSG00000160124	ENST00000291458
CCDC59	ENSG00000133773	ENST00000256151
CCDC6	ENSG00000108091	ENST00000263102
CCDC60	ENSG00000183273	ENST00000327554
CCDC61	ENSG00000104983	ENST00000595358
CCDC62	ENSG00000130783	ENST00000253079
CCDC63	ENSG00000173093	ENST00000308208
CCDC64	ENSG00000135127	ENST00000397558
CCDC64B	ENSG00000162069	ENST00000572449
CCDC65	ENSG00000139537	ENST00000320516
CCDC66	ENSG00000180376	ENST00000394672
CCDC67	ENSG00000165325	ENST00000298050
CCDC68	ENSG00000166510	ENST00000591504
CCDC69	ENSG00000198624	ENST00000355417
CCDC7	ENSG00000150076	ENST00000375025
CCDC70	ENSG00000123171	ENST00000242819
CCDC71	ENSG00000177352	ENST00000321895
CCDC71L	ENSG00000253276	ENST00000523505
CCDC73	ENSG00000186714	ENST00000335185
CCDC74A	ENSG00000163040	ENST00000295171
CCDC74B	ENSG00000152076	ENST00000310463
CCDC77	ENSG00000120647	ENST00000239830
CCDC78	ENSG00000162004	ENST00000293889
CCDC79	ENSG00000249961	ENST00000433154
CCDC8	ENSG00000169515	ENST00000307522
CCDC80	ENSG00000091986	ENST00000206423
CCDC81	ENSG00000149201	ENST00000445632
CCDC82	ENSG00000149231	ENST00000278520
CCDC83	ENSG00000150676	ENST00000280245
CCDC84	ENSG00000186166	ENST00000334418
CCDC85A	ENSG00000055813	ENST00000407595
CCDC85B	ENSG00000175602	ENST00000312579
CCDC85C	ENSG00000205476	ENST00000380243
CCDC86	ENSG00000110104	ENST00000227520
CCDC87	ENSG00000182791	ENST00000333861
CCDC88A	ENSG00000115355	ENST00000336838
CCDC88B	ENSG00000168071	ENST00000356786
CCDC88C	ENSG00000015133	ENST00000389857
CCDC89	ENSG00000179071	ENST00000316398
CCDC9	ENSG00000105321	ENST00000221922
CCDC90B	ENSG00000137500	ENST00000529689
CCDC91	ENSG00000123106	ENST00000545336
CCDC92	ENSG00000119242	ENST00000238156
CCDC93	ENSG00000125633	ENST00000376300
CCDC94	ENSG00000105248	ENST00000262962
CCDC96	ENSG00000173013	ENST00000310085
CCDC97	ENSG00000142039	ENST00000269967
CCER1	ENSG00000197651	ENST00000358859
CCER2	ENSG00000262484	ENST00000571838
CCHCR1	ENSG00000204536	ENST00000396268
CCIN	ENSG00000185972	ENST00000335119
CCK	ENSG00000187094	ENST00000396169
CCKAR	ENSG00000163394	ENST00000295589
CCKBR	ENSG00000110148	ENST00000334619
CCL1	ENSG00000108702	ENST00000225842
CCL11	ENSG00000172156	ENST00000305869
CCL13	ENSG00000181374	ENST00000225844
CCL17	ENSG00000102970	ENST00000219244
CCL19	ENSG00000172724	ENST00000311925
CCL2	ENSG00000108691	ENST00000225831
CCL20	ENSG00000115009	ENST00000358813
CCL21	ENSG00000137077	ENST00000259607
CCL22	ENSG00000102962	ENST00000219235
CCL24	ENSG00000106178	ENST00000416943
CCL25	ENSG00000131142	ENST00000390669
CCL26	ENSG00000006606	ENST00000394905
CCL27	ENSG00000213927	ENST00000259631
CCL28	ENSG00000151882	ENST00000361115
CCL7	ENSG00000108688	ENST00000378569
CCL8	ENSG00000108700	ENST00000394620
CCM2	ENSG00000136280	ENST00000381112
CCM2L	ENSG00000101331	ENST00000262659
CCNA1	ENSG00000133101	ENST00000255465
CCNA2	ENSG00000145386	ENST00000274026
CCNB1	ENSG00000134057	ENST00000256442
CCNB1IP1	ENSG00000100814	ENST00000437553
CCNB2	ENSG00000157456	ENST00000288207
CCNB3	ENSG00000147082	ENST00000376042
CCNC	ENSG00000112237	ENST00000520429
CCND1	ENSG00000110092	ENST00000227507
CCND2	ENSG00000118971	ENST00000261254
CCND3	ENSG00000112576	ENST00000372991
CCNDBP1	ENSG00000166946	ENST00000300213
CCNE1	ENSG00000105173	ENST00000262643
CCNE2	ENSG00000175305	ENST00000520509
CCNF	ENSG00000162063	ENST00000397066
CCNG1	ENSG00000113328	ENST00000340828
CCNG2	ENSG00000138764	ENST00000316355
CCNH	ENSG00000134480	ENST00000256897
CCNI	ENSG00000118816	ENST00000237654
CCNJ	ENSG00000107443	ENST00000465148
CCNJL	ENSG00000135083	ENST00000393977
CCNK	ENSG00000090061	ENST00000389879
CCNL1	ENSG00000163660	ENST00000295926
CCNL2	ENSG00000221978	ENST00000400809
CCNO	ENSG00000152669	ENST00000282572
CCNT1	ENSG00000129315	ENST00000261900
CCNT2	ENSG00000082258	ENST00000264157
CCNY	ENSG00000108100	ENST00000374704
CCNYL1	ENSG00000163249	ENST00000339882
CCP110	ENSG00000103540	ENST00000381396
CCPG1	ENSG00000260916	ENST00000442196
CCR1	ENSG00000163823	ENST00000296140
CCR10	ENSG00000184451	ENST00000332438
CCR2	ENSG00000121807	ENST00000292301
CCR3	ENSG00000183625	ENST00000545097
CCR4	ENSG00000183813	ENST00000330953
CCR5	ENSG00000160791	ENST00000292303
CCR6	ENSG00000112486	ENST00000341935
CCR7	ENSG00000126353	ENST00000246657
CCR8	ENSG00000179934	ENST00000326306
CCR9	ENSG00000173585	ENST00000357632
CCRL2	ENSG00000121797	ENST00000357392
CCRN4L	ENSG00000151014	ENST00000280614
CCS	ENSG00000173992	ENST00000533244
CCSAP	ENSG00000154429	ENST00000284617
CCSER1	ENSG00000184305	ENST00000509176
CCSER2	ENSG00000107771	ENST00000372088
CCT2	ENSG00000166226	ENST00000299300
CCT3	ENSG00000163468	ENST00000295688
CCT4	ENSG00000115484	ENST00000394440
CCT5	ENSG00000150753	ENST00000280326
CCT6A	ENSG00000146731	ENST00000275603
CCT6B	ENSG00000132141	ENST00000314144
CCT7	ENSG00000135624	ENST00000258091
CCT8	ENSG00000156261	ENST00000286788
CCT8L2	ENSG00000198445	ENST00000359963
CCZ1	ENSG00000122674	ENST00000325974
CCZ1B	ENSG00000146574	ENST00000316731
CD101	ENSG00000134256	ENST00000369470
CD109	ENSG00000156535	ENST00000287097
CD14	ENSG00000170458	ENST00000302014
CD151	ENSG00000177697	ENST00000397420
CD160	ENSG00000117281	ENST00000235933
CD163	ENSG00000177575	ENST00000359156
CD163L1	ENSG00000177675	ENST00000416109
CD164	ENSG00000135535	ENST00000310786
CD164L2	ENSG00000174950	ENST00000374027
CD180	ENSG00000134061	ENST00000256447
CD19	ENSG00000177455	ENST00000538922
CD1A	ENSG00000158477	ENST00000289429
CD1B	ENSG00000158485	ENST00000368168
CD1C	ENSG00000158481	ENST00000368170
CD1D	ENSG00000158473	ENST00000368171
CD1E	ENSG00000158488	ENST00000368167
CD2	ENSG00000116824	ENST00000369478
CD200	ENSG00000091972	ENST00000473539
CD200R1	ENSG00000163606	ENST00000308611
CD200R1L	ENSG00000206531	ENST00000398214
CD207	ENSG00000116031	ENST00000410009
CD209	ENSG00000090659	ENST00000315599
CD22	ENSG00000012124	ENST00000085219
CD226	ENSG00000150637	ENST00000280200
CD244	ENSG00000122223	ENST00000368033
CD247	ENSG00000198821	ENST00000362089
CD248	ENSG00000174807	ENST00000311330
CD27	ENSG00000139193	ENST00000266557
CD274	ENSG00000120217	ENST00000381577
CD276	ENSG00000103855	ENST00000318443
CD28	ENSG00000178562	ENST00000324106
CD2AP	ENSG00000198087	ENST00000359314
CD2BP2	ENSG00000169217	ENST00000305596
CD300A	ENSG00000167851	ENST00000360141
CD300C	ENSG00000167850	ENST00000330793
CD300E	ENSG00000186407	ENST00000392619
CD300LB	ENSG00000178789	ENST00000392621
CD300LD	ENSG00000204345	ENST00000375352
CD300LF	ENSG00000186074	ENST00000583937
CD300LG	ENSG00000161649	ENST00000317310
CD302	ENSG00000241399	ENST00000259053
CD320	ENSG00000167775	ENST00000301458
CD33	ENSG00000105383	ENST00000262262
CD34	ENSG00000174059	ENST00000310833
CD36	ENSG00000135218	ENST00000435819
CD37	ENSG00000104894	ENST00000323906
CD38	ENSG00000004468	ENST00000226279
CD3D	ENSG00000167286	ENST00000300692
CD3E	ENSG00000198851	ENST00000361763
CD3EAP	ENSG00000117877	ENST00000589804
CD3G	ENSG00000160654	ENST00000532917
CD4	ENSG00000010610	ENST00000011653
CD40	ENSG00000101017	ENST00000372285
CD40LG	ENSG00000102245	ENST00000370629
CD44	ENSG00000026508	ENST00000428726
CD46	ENSG00000117335	ENST00000322875
CD47	ENSG00000196776	ENST00000361309
CD5	ENSG00000110448	ENST00000347785
CD52	ENSG00000169442	ENST00000374213
CD53	ENSG00000143119	ENST00000271324
CD55	ENSG00000196352	ENST00000367063
CD58	ENSG00000116815	ENST00000369489
CD59	ENSG00000085063	ENST00000395850
CD5L	ENSG00000073754	ENST00000368174
CD6	ENSG00000013725	ENST00000313421
CD63	ENSG00000135404	ENST00000549117
CD68	ENSG00000129226	ENST00000250092
CD69	ENSG00000110848	ENST00000228434
CD7	ENSG00000173762	ENST00000312648
CD70	ENSG00000125726	ENST00000245903
CD72	ENSG00000137101	ENST00000396757
CD74	ENSG00000019582	ENST00000009530
CD79A	ENSG00000105369	ENST00000221972
CD79B	ENSG00000007312	ENST00000392795
CD80	ENSG00000121594	ENST00000264246
CD81	ENSG00000110651	ENST00000263645
CD82	ENSG00000085117	ENST00000227155
CD83	ENSG00000112149	ENST00000379153
CD84	ENSG00000066294	ENST00000311224
CD86	ENSG00000114013	ENST00000330540
CD8A	ENSG00000153563	ENST00000409511
CD8B	ENSG00000172116	ENST00000331469
CD9	ENSG00000010278	ENST00000382518
CD93	ENSG00000125810	ENST00000246006
CD96	ENSG00000153283	ENST00000283285
CD97	ENSG00000123146	ENST00000242786
CD99	ENSG00000002586	ENST00000381192
CDA	ENSG00000158825	ENST00000375071
CDADC1	ENSG00000102543	ENST00000251108
CDAN1	ENSG00000140326	ENST00000356231
CDC123	ENSG00000151465	ENST00000281141
CDC14A	ENSG00000079335	ENST00000361544
CDC14B	ENSG00000081377	ENST00000375241
CDC16	ENSG00000130177	ENST00000360383
CDC20	ENSG00000117399	ENST00000372462
CDC20B	ENSG00000164287	ENST00000381375
CDC23	ENSG00000094880	ENST00000394886
CDC25A	ENSG00000164045	ENST00000302506
CDC25B	ENSG00000101224	ENST00000245960
CDC25C	ENSG00000158402	ENST00000323760
CDC26	ENSG00000176386	ENST00000374206
CDC27	ENSG00000004897	ENST00000531206
CDC34	ENSG00000099804	ENST00000215574
CDC37	ENSG00000105401	ENST00000222005
CDC37L1	ENSG00000106993	ENST00000381854
CDC40	ENSG00000168438	ENST00000368932
CDC42	ENSG00000070831	ENST00000400259
CDC42BPA	ENSG00000143776	ENST00000366769
CDC42BPB	ENSG00000198752	ENST00000361246
CDC42BPG	ENSG00000171219	ENST00000342711
CDC42EP1	ENSG00000128283	ENST00000249014
CDC42EP2	ENSG00000149798	ENST00000279249
CDC42EP3	ENSG00000163171	ENST00000295324
CDC42EP4	ENSG00000179604	ENST00000335793
CDC42EP5	ENSG00000167617	ENST00000301200
CDC42SE1	ENSG00000197622	ENST00000439374
CDC42SE2	ENSG00000158985	ENST00000505065
CDC45	ENSG00000093009	ENST00000437685
CDC5L	ENSG00000096401	ENST00000371477
CDC6	ENSG00000094804	ENST00000209728
CDC7	ENSG00000097046	ENST00000428239
CDC73	ENSG00000134371	ENST00000367435
CDCA2	ENSG00000184661	ENST00000330560
CDCA3	ENSG00000111665	ENST00000538862
CDCA4	ENSG00000170779	ENST00000336219
CDCA5	ENSG00000146670	ENST00000275517
CDCA7	ENSG00000144354	ENST00000306721
CDCA7L	ENSG00000164649	ENST00000406877
CDCA8	ENSG00000134690	ENST00000373055
CDCP1	ENSG00000163814	ENST00000296129
CDCP2	ENSG00000157211	ENST00000371330
CDH1	ENSG00000039068	ENST00000261769
CDH10	ENSG00000040731	ENST00000264463
CDH11	ENSG00000140937	ENST00000268603
CDH12	ENSG00000154162	ENST00000382254
CDH13	ENSG00000140945	ENST00000268613
CDH15	ENSG00000129910	ENST00000289746
CDH16	ENSG00000166589	ENST00000299752
CDH17	ENSG00000079112	ENST00000027335
CDH18	ENSG00000145526	ENST00000507958
CDH19	ENSG00000071991	ENST00000262150
CDH2	ENSG00000170558	ENST00000269141
CDH20	ENSG00000101542	ENST00000262717
CDH22	ENSG00000149654	ENST00000537909
CDH23	ENSG00000107736	ENST00000398788
CDH24	ENSG00000139880	ENST00000397359
CDH26	ENSG00000124215	ENST00000348616
CDH3	ENSG00000062038	ENST00000264012
CDH5	ENSG00000179776	ENST00000341529
CDH6	ENSG00000113361	ENST00000265071
CDH7	ENSG00000081138	ENST00000397968
CDH8	ENSG00000150394	ENST00000577390
CDH9	ENSG00000113100	ENST00000231021
CDHR2	ENSG00000074276	ENST00000510636
CDHR3	ENSG00000128536	ENST00000317716
CDHR4	ENSG00000187492	ENST00000412678
CDHR5	ENSG00000099834	ENST00000358353
CDIP1	ENSG00000089486	ENST00000399599
CDIPT	ENSG00000103502	ENST00000219789
CDK1	ENSG00000170312	ENST00000395284
CDK10	ENSG00000185324	ENST00000353379
CDK11A	ENSG00000008128	ENST00000404249
CDK11B	ENSG00000248333	ENST00000407249
CDK12	ENSG00000167258	ENST00000447079
CDK13	ENSG00000065883	ENST00000181839
CDK14	ENSG00000058091	ENST00000380050
CDK15	ENSG00000138395	ENST00000450471
CDK16	ENSG00000102225	ENST00000276052
CDK17	ENSG00000059758	ENST00000261211
CDK18	ENSG00000117266	ENST00000506784
CDK19	ENSG00000155111	ENST00000368911
CDK2	ENSG00000123374	ENST00000266970
CDK20	ENSG00000156345	ENST00000325303
CDK2AP1	ENSG00000111328	ENST00000261692
CDK2AP2	ENSG00000167797	ENST00000301488
CDK3	ENSG00000250506	ENST00000425876
CDK4	ENSG00000135446	ENST00000257904
CDK5	ENSG00000164885	ENST00000485972
CDK5R1	ENSG00000176749	ENST00000313401
CDK5R2	ENSG00000171450	ENST00000302625
CDK5RAP1	ENSG00000101391	ENST00000346416
CDK5RAP2	ENSG00000136861	ENST00000349780
CDK5RAP3	ENSG00000108465	ENST00000536708
CDK6	ENSG00000105810	ENST00000265734
CDK7	ENSG00000134058	ENST00000256443
CDK8	ENSG00000132964	ENST00000381527
CDK9	ENSG00000136807	ENST00000373264
CDKAL1	ENSG00000145996	ENST00000274695
CDKL1	ENSG00000100490	ENST00000395834
CDKL2	ENSG00000138769	ENST00000429927
CDKL3	ENSG00000006837	ENST00000265334
CDKL4	ENSG00000205111	ENST00000378803
CDKL5	ENSG00000008086	ENST00000379989
CDKN1A	ENSG00000124762	ENST00000405375
CDKN1B	ENSG00000111276	ENST00000228872
CDKN1C	ENSG00000129757	ENST00000414822
CDKN2A	ENSG00000147889	ENST00000498124
CDKN2AIP	ENSG00000168564	ENST00000504169
CDKN2AIPNL	ENSG00000237190	ENST00000458198
CDKN2B	ENSG00000147883	ENST00000276925
CDKN2C	ENSG00000123080	ENST00000262662
CDKN2D	ENSG00000129355	ENST00000393599
CDKN3	ENSG00000100526	ENST00000335183
CDNF	ENSG00000185267	ENST00000465530
CDO1	ENSG00000129596	ENST00000250535
CDON	ENSG00000064309	ENST00000392693
CDPF1	ENSG00000205643	ENST00000314567
CDR1	ENSG00000184258	ENST00000370532
CDR2	ENSG00000140743	ENST00000268383
CDR2L	ENSG00000109089	ENST00000337231
CDRT1	ENSG00000241322	ENST00000395906
CDRT15	ENSG00000223510	ENST00000420162
CDRT15L2	ENSG00000214819	ENST00000399044
CDS1	ENSG00000163624	ENST00000295887
CDS2	ENSG00000101290	ENST00000460006
CDSN	ENSG00000204539	ENST00000376288
CDT1	ENSG00000167513	ENST00000301019
CDV3	ENSG00000091527	ENST00000264993
CDX1	ENSG00000113722	ENST00000231656
CDX2	ENSG00000165556	ENST00000381020
CDX4	ENSG00000131264	ENST00000373514
CDY1	ENSG00000172288	ENST00000306609
CDY1B	ENSG00000172352	ENST00000306882
CDY2A	ENSG00000182415	ENST00000426790
CDY2B	ENSG00000129873	ENST00000544303
CDYL	ENSG00000153046	ENST00000397588
CDYL2	ENSG00000166446	ENST00000570137
CEACAM1	ENSG00000079385	ENST00000161559
CEACAM16	ENSG00000213892	ENST00000587331
CEACAM18	ENSG00000213822	ENST00000396477
CEACAM19	ENSG00000186567	ENST00000403660
CEACAM21	ENSG00000007129	ENST00000401445
CEACAM3	ENSG00000170956	ENST00000357396
CEACAM4	ENSG00000105352	ENST00000221954
CEACAM5	ENSG00000105388	ENST00000221992
CEACAM6	ENSG00000086548	ENST00000199764
CEACAM7	ENSG00000007306	ENST00000006724
CEACAM8	ENSG00000124469	ENST00000244336
CEBPA	ENSG00000245848	ENST00000498907
CEBPB	ENSG00000172216	ENST00000303004
CEBPD	ENSG00000221869	ENST00000408965
CEBPE	ENSG00000092067	ENST00000206513
CEBPG	ENSG00000153879	ENST00000284000
CEBPZ	ENSG00000115816	ENST00000234170
CECR1	ENSG00000093072	ENST00000399837
CECR2	ENSG00000099954	ENST00000400585
CECR5	ENSG00000069998	ENST00000336737
CECR6	ENSG00000183307	ENST00000331437
CEL	ENSG00000170835	ENST00000372080
CELA1	ENSG00000139610	ENST00000293636
CELA2A	ENSG00000142615	ENST00000359621
CELA2B	ENSG00000215704	ENST00000375910
CELA3A	ENSG00000142789	ENST00000290122
CELA3B	ENSG00000219073	ENST00000337107
CELF1	ENSG00000149187	ENST00000532048
CELF2	ENSG00000048740	ENST00000542579
CELF3	ENSG00000159409	ENST00000290583
CELF4	ENSG00000101489	ENST00000420428
CELF5	ENSG00000161082	ENST00000292672
CELF6	ENSG00000140488	ENST00000287202
CELSR1	ENSG00000075275	ENST00000262738
CELSR2	ENSG00000143126	ENST00000271332
CELSR3	ENSG00000008300	ENST00000164024
CEMIP	ENSG00000103888	ENST00000394685
CEMP1	ENSG00000205923	ENST00000567119
CEND1	ENSG00000184524	ENST00000330106
CENPA	ENSG00000115163	ENST00000335756
CENPB	ENSG00000125817	ENST00000379751
CENPBD1	ENSG00000177946	ENST00000314994
CENPC	ENSG00000145241	ENST00000273853
CENPE	ENSG00000138778	ENST00000265148
CENPF	ENSG00000117724	ENST00000366955
CENPH	ENSG00000153044	ENST00000283006
CENPI	ENSG00000102384	ENST00000372927
CENPJ	ENSG00000151849	ENST00000381884
CENPK	ENSG00000123219	ENST00000396679
CENPL	ENSG00000120334	ENST00000356198
CENPM	ENSG00000100162	ENST00000215980
CENPN	ENSG00000166451	ENST00000393335
CENPO	ENSG00000138092	ENST00000380834
CENPP	ENSG00000188312	ENST00000375587
CENPQ	ENSG00000031691	ENST00000335783
CENPT	ENSG00000102901	ENST00000562787
CENPU	ENSG00000151725	ENST00000281453
CENPV	ENSG00000166582	ENST00000299736
CENPW	ENSG00000203760	ENST00000368325
CEP104	ENSG00000116198	ENST00000378230
CEP112	ENSG00000154240	ENST00000392769
CEP120	ENSG00000168944	ENST00000306467
CEP128	ENSG00000100629	ENST00000555265
CEP131	ENSG00000141577	ENST00000450824
CEP135	ENSG00000174799	ENST00000257287
CEP152	ENSG00000103995	ENST00000380950
CEP162	ENSG00000135315	ENST00000403245
CEP164	ENSG00000110274	ENST00000278935
CEP170	ENSG00000143702	ENST00000366542
CEP170B	ENSG00000099814	ENST00000414716
CEP19	ENSG00000174007	ENST00000409690
CEP192	ENSG00000101639	ENST00000506447
CEP250	ENSG00000126001	ENST00000397527
CEP290	ENSG00000198707	ENST00000552810
CEP350	ENSG00000135837	ENST00000367607
CEP41	ENSG00000106477	ENST00000223208
CEP44	ENSG00000164118	ENST00000457424
CEP55	ENSG00000138180	ENST00000371485
CEP57	ENSG00000166037	ENST00000325542
CEP57L1	ENSG00000183137	ENST00000517392
CEP63	ENSG00000182923	ENST00000337090
CEP68	ENSG00000011523	ENST00000377990
CEP70	ENSG00000114107	ENST00000264982
CEP72	ENSG00000112877	ENST00000264935
CEP76	ENSG00000101624	ENST00000262127
CEP78	ENSG00000148019	ENST00000376597
CEP83	ENSG00000173588	ENST00000397809
CEP85	ENSG00000130695	ENST00000252992
CEP85L	ENSG00000111860	ENST00000368488
CEP89	ENSG00000121289	ENST00000305768
CEP95	ENSG00000258890	ENST00000556440
CEP97	ENSG00000182504	ENST00000341893
CEPT1	ENSG00000134255	ENST00000545121
CER1	ENSG00000147869	ENST00000380911
CERCAM	ENSG00000167123	ENST00000372838
CERK	ENSG00000100422	ENST00000216264
CERKL	ENSG00000188452	ENST00000339098
CERS2	ENSG00000143418	ENST00000271688
CERS3	ENSG00000154227	ENST00000284382
CERS4	ENSG00000090661	ENST00000251363
CERS5	ENSG00000139624	ENST00000317551
CERS6	ENSG00000172292	ENST00000392687
CES1	ENSG00000198848	ENST00000360526
CES2	ENSG00000172831	ENST00000317091
CES3	ENSG00000172828	ENST00000303334
CES4A	ENSG00000172824	ENST00000540947
CES5A	ENSG00000159398	ENST00000521992
CETN1	ENSG00000177143	ENST00000327228
CETN2	ENSG00000147400	ENST00000370277
CETN3	ENSG00000153140	ENST00000522083
CETP	ENSG00000087237	ENST00000200676
CFB	ENSG00000243649	ENST00000425368
CFC1	ENSG00000136698	ENST00000259216
CFC1B	ENSG00000152093	ENST00000281882
CFD	ENSG00000197766	ENST00000327726
CFDP1	ENSG00000153774	ENST00000283882
CFH	ENSG00000000971	ENST00000367429
CFHR1	ENSG00000244414	ENST00000320493
CFHR2	ENSG00000080910	ENST00000367415
CFHR3	ENSG00000116785	ENST00000367425
CFHR4	ENSG00000134365	ENST00000367416
CFHR5	ENSG00000134389	ENST00000256785
CFI	ENSG00000205403	ENST00000394634
CFL1	ENSG00000172757	ENST00000525451
CFL2	ENSG00000165410	ENST00000298159
CFLAR	ENSG00000003402	ENST00000309955
CFP	ENSG00000126759	ENST00000247153
CFTR	ENSG00000001626	ENST00000003084
CGB	ENSG00000104827	ENST00000357383
CGB1	ENSG00000267631	ENST00000301407
CGB2	ENSG00000104818	ENST00000359342
CGB5	ENSG00000189052	ENST00000301408
CGB7	ENSG00000196337	ENST00000597853
CGB8	ENSG00000213030	ENST00000448456
CGGBP1	ENSG00000163320	ENST00000398392
CGN	ENSG00000143375	ENST00000271636
CGNL1	ENSG00000128849	ENST00000281282
CGREF1	ENSG00000138028	ENST00000402394
CGRRF1	ENSG00000100532	ENST00000216420
CH25H	ENSG00000138135	ENST00000371852
CHAC1	ENSG00000128965	ENST00000446533
CHAC2	ENSG00000143942	ENST00000295304
CHAD	ENSG00000136457	ENST00000508540
CHADL	ENSG00000100399	ENST00000216241
CHAF1A	ENSG00000167670	ENST00000301280
CHAF1B	ENSG00000159259	ENST00000314103
