hugo_symbol	ensembl_gene_id	canonical_transcript
ACHE	ENSG00000087085	ENST00000302913
ACIN1	ENSG00000100813	ENST00000262710
ACKR2	ENSG00000144648	ENST00000422265
ACKR3	ENSG00000144476	ENST00000272928
ACKR4	ENSG00000129048	ENST00000249887
ACLY	ENSG00000131473	ENST00000352035
ACMSD	ENSG00000153086	ENST00000356140
ACN9	ENSG00000196636	ENST00000432641
ACO1	ENSG00000122729	ENST00000309951
ACO2	ENSG00000100412	ENST00000216254
ACOT1	ENSG00000184227	ENST00000311148
ACOT11	ENSG00000162390	ENST00000371316
ACOT12	ENSG00000172497	ENST00000307624
ACOT13	ENSG00000112304	ENST00000230048
ACOT2	ENSG00000119673	ENST00000238651
ACOT4	ENSG00000177465	ENST00000326303
ACOT6	ENSG00000205669	ENST00000381139
ACOT7	ENSG00000097021	ENST00000377855
ACOT8	ENSG00000101473	ENST00000217455
ACOT9	ENSG00000123130	ENST00000379303
ACOX1	ENSG00000161533	ENST00000293217
ACOX2	ENSG00000168306	ENST00000302819
ACOX3	ENSG00000087008	ENST00000356406
ACOXL	ENSG00000153093	ENST00000439055
ACP1	ENSG00000143727	ENST00000272067
ACP2	ENSG00000134575	ENST00000256997
ACP5	ENSG00000102575	ENST00000592828
ACPL2	ENSG00000155893	ENST00000286353
ACPP	ENSG00000014257	ENST00000351273
ACPT	ENSG00000142513	ENST00000270593
ACR	ENSG00000100312	ENST00000216139
ACRBP	ENSG00000111644	ENST00000229243
ACRC	ENSG00000147174	ENST00000373695
ACRV1	ENSG00000134940	ENST00000533904
ACSBG1	ENSG00000103740	ENST00000258873
ACSBG2	ENSG00000130377	ENST00000586696
ACSF2	ENSG00000167107	ENST00000427954
ACSL1	ENSG00000151726	ENST00000515030
ACSL3	ENSG00000123983	ENST00000357430
ACSL4	ENSG00000068366	ENST00000340800
ACSL5	ENSG00000197142	ENST00000356116
ACSL6	ENSG00000164398	ENST00000379264
ACSM1	ENSG00000166743	ENST00000307493
ACSM2A	ENSG00000183747	ENST00000573854
ACSM2B	ENSG00000066813	ENST00000329697
ACSM3	ENSG00000005187	ENST00000289416
ACSM4	ENSG00000215009	ENST00000399422
ACSM5	ENSG00000183549	ENST00000331849
ACSS1	ENSG00000154930	ENST00000323482
ACSS2	ENSG00000131069	ENST00000253382
ACSS3	ENSG00000111058	ENST00000548058
ACTA1	ENSG00000143632	ENST00000366684
ACTA2	ENSG00000107796	ENST00000458208
ACTB	ENSG00000075624	ENST00000331789
ACTBL2	ENSG00000169067	ENST00000423391
ACTC1	ENSG00000159251	ENST00000290378
ACTG1	ENSG00000184009	ENST00000575842
ACTG2	ENSG00000163017	ENST00000409624
ACTL10	ENSG00000182584	ENST00000330271
ACTL6A	ENSG00000136518	ENST00000429709
ACTL6B	ENSG00000077080	ENST00000160382
ACTL7A	ENSG00000187003	ENST00000333999
ACTL7B	ENSG00000148156	ENST00000374667
ACTL8	ENSG00000117148	ENST00000375406
ACTL9	ENSG00000181786	ENST00000324436
ACTN1	ENSG00000072110	ENST00000394419
ACTN2	ENSG00000077522	ENST00000542672
ACTN3	ENSG00000248746	ENST00000502692
ACTN4	ENSG00000130402	ENST00000252699
ACTR10	ENSG00000131966	ENST00000254286
ACTR1A	ENSG00000138107	ENST00000369905
ACTR1B	ENSG00000115073	ENST00000289228
ACTR2	ENSG00000138071	ENST00000377982
ACTR3	ENSG00000115091	ENST00000263238
ACTR3B	ENSG00000133627	ENST00000256001
ACTR3C	ENSG00000106526	ENST00000252071
ACTR5	ENSG00000101442	ENST00000243903
ACTR6	ENSG00000075089	ENST00000188312
ACTR8	ENSG00000113812	ENST00000335754
ACTRT1	ENSG00000123165	ENST00000371124
ACTRT2	ENSG00000169717	ENST00000378404
ACTRT3	ENSG00000184378	ENST00000330368
ACVR1	ENSG00000115170	ENST00000263640
ACVR1B	ENSG00000135503	ENST00000541224
ACVR1C	ENSG00000123612	ENST00000243349
ACVR2A	ENSG00000121989	ENST00000241416
ACVR2B	ENSG00000114739	ENST00000352511
ACVRL1	ENSG00000139567	ENST00000388922
ACY1	ENSG00000243989	ENST00000404366
ACY3	ENSG00000132744	ENST00000255082
ACYP1	ENSG00000119640	ENST00000555463
ACYP2	ENSG00000170634	ENST00000394666
ADA	ENSG00000196839	ENST00000372874
ADAD1	ENSG00000164113	ENST00000296513
ADAD2	ENSG00000140955	ENST00000268624
ADAL	ENSG00000168803	ENST00000422466
ADAM10	ENSG00000137845	ENST00000260408
ADAM11	ENSG00000073670	ENST00000200557
ADAM12	ENSG00000148848	ENST00000368679
ADAM15	ENSG00000143537	ENST00000356955
ADAM17	ENSG00000151694	ENST00000310823
ADAM18	ENSG00000168619	ENST00000265707
ADAM19	ENSG00000135074	ENST00000257527
ADAM2	ENSG00000104755	ENST00000265708
ADAM20	ENSG00000134007	ENST00000256389
ADAM21	ENSG00000139985	ENST00000603540
ADAM22	ENSG00000008277	ENST00000265727
ADAM23	ENSG00000114948	ENST00000264377
